,hostname,glon,glat,sy_dist,st_spectype,sy_vmag,pl_orbsmax,pl_orbincl,st_teff,pl_eqt,pl_angsep,contrast,X,Y,Z
127,DE CVn,104.28761,70.27803,30.5225,G,12.956,2.787678669719351e-05,86.0,3579.0,0.0,188.0,0.0,-2.5419334381507204,9.981419768197084,28.732087290293684
128,DENIS-P J082303.1-491201,265.61638,-6.82669,20.77,L,0.0,1.7453292540851586e-06,56.6,0.0,0.0,17.3,0.0,-1.5762785926732774,-20.56241691013881,-2.4688573494467767
129,DH Tau,171.89958,-14.93888,134.846,M,13.98,0.0015998851495780623,0.0,4371.0,2200.0,2450.0,0.06417523938329144,-128.9884538771283,18.35874019688932,-34.76174824100569
130,DMPP-1,215.35863,-19.05301,62.5388,F,7.98,7.087976026312505e-07,0.0,6196.0,877.0,2.34,0.0004013772352219728,-48.2091449518968,-34.20809379382107,-20.41534147253342
131,DMPP-1,215.35863,-19.05301,62.5388,F,7.98,3.5536842867900596e-07,0.0,6196.0,1239.0,1.17,0.0015989673255681085,-48.2091449518968,-34.20809379382107,-20.41534147253342
132,DMPP-1,215.35863,-19.05301,62.5388,F,7.98,2.0459137367331585e-07,0.0,6196.0,1632.0,0.675,0.004813211895113818,-48.2091449518968,-34.20809379382107,-20.41534147253342
133,DMPP-1,215.35863,-19.05301,62.5388,F,7.98,3.1561370678039957e-07,0.0,6196.0,1314.0,1.04,0.0020227202603473955,-48.2091449518968,-34.20809379382107,-20.41534147253342
134,DMPP-2,246.92255,-75.5342,137.94,F,8.57,3.2191628464237373e-07,0.0,6500.0,1000.0,0.481,0.0005602044746332411,-13.506558400311254,-31.700249150346526,-133.56687719635033
135,DMPP-3 A,283.20965,-29.14463,45.23,K,9.066,3.2094665727899303e-07,0.0,5138.0,854.0,1.46,0.0007632293855250006,9.027152332704226,-38.45832380512117,-22.02772686553478
136,DMPP-4,83.46183,14.58774,25.3284,F,5.72936,2.352800797243132e-07,0.0,6400.0,0.0,1.92,0.0,2.7910488274771317,24.35247059310782,6.3792686896271595
137,DP Leo,230.89636,66.45634,305.684,G,18.6837,3.970624053043736e-05,0.0,13500.0,0.0,26.8,0.0,-77.0145568433225,-94.75409094577604,280.237627986083
138,DS Tuc A,312.10146,-46.63356,44.0622,G,8.17,0.0,89.5,5428.0,850.0,0.0,0.0006013348126922586,20.28488598564739,-22.448578173164513,-32.03220578406376
139,EPIC 201170410,264.99528,51.24569,134.0,G,17.6984,1.6919997490992233e-07,89.002,3648.0,0.0,0.26,0.0,-7.317647503938582,-83.56180887387023,104.49821114609993
140,EPIC 201238110,278.31843,56.94662,159.259,G,16.014,0.0,0.0,3587.0,0.0,0.0,0.0,12.566869924755515,-85.94920796788043,133.48496735958065
141,EPIC 201427007,285.58634,61.20318,706.391,G,14.321,0.0,88.5,5633.0,0.0,0.0,0.0,91.42777374317646,-327.75915875965586,619.0340385782749
142,EPIC 201497682,258.19387,54.82399,253.026,G,13.948,0.0,0.0,4991.0,0.0,0.0,0.0,-29.823791964167015,-142.68217802432434,206.81995595955703
143,EPIC 201595106,282.19917,63.35883,232.1,G,11.746,0.0,89.2,5820.0,1874.0,0.0,0.010749454050388784,21.9919392261627,-101.72388165663033,207.45846936141373
144,K2-166,285.15815,64.0901,476.882,G,12.081,0.0,0.0,5942.5,0.0,0.0,0.0,54.48730962624735,-201.1271235519779,428.9469141809985
145,K2-16,262.91176,61.77713,334.967,K,14.668,0.0,0.0,4761.0,0.0,0.0,0.0,-19.54704199695633,-157.19607623664658,295.1443678167883
146,EPIC 201757695,260.8805,61.14782,577.6,G,14.974,1.435048497803353e-07,89.276,4520.0,0.0,0.0512,0.0,-44.175759641051705,-275.1987034608934,505.9011127419856
147,K2-50,252.27127,59.32248,257.443,G,14.705,0.0,0.0,4292.67,0.0,0.0,0.0,-39.997129222876396,-125.11093893476472,221.41450011638824
148,EPIC 201841433,261.10589,63.11979,436.488,G,14.983,1.6968478859161268e-07,89.001,5053.0,0.0,0.0802,0.0,-30.51172031500097,-194.97490224857154,389.32710740530143
149,K2-168,40.91076,-51.71337,243.935,G,12.365,0.0,89.81,5502.7,961.0,0.0,0.0009302297088628165,114.2219557921414,98.97971398607733,-191.4696980183873
