sy_dist,st_spectype,sy_vmag,st_teff
17.3357,F,5.52,6218.0
34.0915,G,7.971,5362.0
103.029,F,7.8,6516.0
33.1205,G,6.28262,5641.0
49.4156,G,8.01,5797.0
49.4156,G,8.01,5752.92
38.92,F,6.99,6255.73
38.6846,K,10.26,4556.03
64.5978,G,9.25,5660.0
64.5978,G,9.25,5660.0
64.5978,G,9.25,5660.0
64.5978,G,9.25,5660.0
64.5978,G,9.25,5660.0
48.9102,K,9.38,5122.0
164.742,K,7.71,4878.0
59.5175,G,8.76,5600.0
59.5175,G,8.76,5551.0
67.8349,G,8.751,5844.0
55.8716,G,8.04,5783.0
55.8716,G,8.04,5783.0
55.4156,G,8.78,5694.0
63.0821,G,8.08,5824.0
116.506,K,5.94188,4840.0
79.5561,G,9.29,5881.0
79.5561,G,9.29,5881.0
42.5279,G,8.9,5185.97
100.758,K,4.64597,4445.0
32.1585,K,8.419,5266.0
32.1585,K,8.419,5266.0
32.1585,K,8.419,5266.0
32.1585,K,8.419,5266.0
32.1585,K,8.419,5266.0
32.1585,K,8.419,5266.0
105.096,F,9.23,6200.0
106.307,G,10.09,5732.0
106.307,G,10.09,5732.0
45.0858,G,7.83,5718.0
44.3804,G,7.13,5905.64
28.9571,G,7.59,5512.0
28.9571,G,7.59,5494.0
114.166,K,6.417,4884.0
33.2237,F,6.11006,6557.0
62.07324,M,3.39515,3657.0
101.166,K,6.11055,4750.0
323.335,K,6.53649,4155.0
36.18,F,6.02078,6774.0
36.18,F,6.02078,6667.33
155.121,K,7.88,4708.93
16.2817,K,9.05,4462.0
16.2817,K,9.05,4462.0
116.334,K,4.77044,4181.0
95.3906,F,8.2,6651.0
27.9243,K,8.73,4836.0
37.8063,G,6.68,5844.0
21.0628,K,7.56,5135.0
21.0628,K,7.56,5126.74
38.9679,G,7.43,5757.15
51.261,G,7.51,6183.0
51.261,G,7.51,6055.0
51.261,G,7.51,6183.0
10.9816,K,6.50066,5019.17
10.9816,K,6.50066,5019.17
87.6437,G,8.34,5957.0
123.245,K,7.88,4819.0
123.245,K,7.88,4951.0
32.3547,G,7.26,5732.0
235.045,G,6.88269,4312.0
37.7781,G,7.17,5990.0
92.2589,K,8.05,5788.0
92.2589,K,8.05,5788.0
33.5369,G,6.41525,5303.0
33.5369,G,6.41525,5303.0
67.9331,G,4.68,4970.0
103.044,G,5.90686,4879.0
41.6592,G,7.54,6027.0
31.7627,G,5.88051,5986.0
31.7627,G,5.88051,5986.0
53.2528,G,7.659,4956.0
60.1977,G,7.88,5873.0
48.3367,F,8.18,5920.0
39.3466,G,9.68,4703.93
153.647,G,8.21,4882.0
28.1989,K,9.03,4691.0
57.6207,G,8.31,5900.0
57.6207,G,8.31,5900.0
57.6207,G,8.31,5900.0
182.192,G,6.98656,4835.0
37.6506,G,7.85,5638.0
37.8478,K,7.43,5645.0
37.8478,K,7.43,5748.0
73.0961,G,8.81,5568.0
22.5279,K,8.7,4595.32
16.3292,K,7.48,4965.0
16.3292,K,7.48,4965.0
26.1548,K,8.2411,4875.0
67.4386,G,8.8,5646.0
31.8766,K,8.04,5387.0
131.849,K,7.8,4846.0
148.934,G,8.34,5671.0
497.823,K,7.57,4175.0
70.7832,G,8.45,5766.0
105.155,F,8.928001,6289.0
51.4736,G,7.66,5799.0
51.4736,G,7.66,5799.0
51.2993,G,8.413,5805.0
24.0125,G,6.29,5966.0
24.0125,G,6.29,5966.0
26.7909,G,6.86,5576.0
26.7909,G,6.86,5576.0
26.7909,G,6.86,5576.0
26.7909,G,6.86,5576.0
26.7909,G,6.86,5576.0
26.1804,G,6.47,5736.0
26.1804,G,6.47,5585.0
56.518,G,7.72,6040.64
73.8713,G,9.08,5698.0
82.4251,G,7.28103,4992.0
51.4359,F,6.9456,6097.0
14.682,G,5.65,5664.0
14.682,G,5.65,5664.0
14.682,G,5.65,5664.0
105.168,G,7.849,4989.0
47.874,G,7.91433,5773.19
43.465,G,7.89,5835.31
40.4841,K,8.71,5181.0
155.317,G,9.899,5799.0
155.317,G,9.899,5799.0
28.2305,K,8.36,5035.0
28.2305,K,8.36,5035.0
79.5515,F,7.52,6255.0
79.5515,F,7.52,6255.0
47.3963,G,7.61,5867.0
112.09,K,5.97272,4700.0
79.5702,G,7.79,5521.0
142.024,G,6.53329,4815.0
15.2528,G,6.01,5610.0
15.2528,G,6.01,5610.0
11.8148,G,4.4154,5885.38
37.0169,K,7.20856,5600.0
37.0169,K,7.20856,5600.0
37.0169,K,7.20856,5600.0
37.0169,K,7.20856,5600.0
33.3622,G,7.25,5870.0
26.1853,F,5.7,6273.0
26.1853,G,5.7,6245.0
26.1853,F,5.7,6245.0
34.2802,G,7.7,5421.0
97.2305,K,7.46,4922.0
35.5318,G,7.33,5940.0
46.7789,F,6.77005,6380.0
68.5146,G,9.2,5507.0
115.665,G,8.97,6126.0
53.4884,G,9.236,6014.0
135.292,K,6.57226,4757.0
17.9323,K,6.61935,5314.94
227.881,K,8.495,4823.75
23.4534,G,6.47933,5765.0
23.4534,G,6.47933,5765.0
40.4256,G,8.3,5441.0
40.4256,G,8.3,5441.0
10.7643,M,8.61,4090.0
12.9032,G,5.37,5883.0
119.137,G,7.63,4946.0
109.055,G,7.96,5972.0
109.055,G,7.96,5972.0
57.1289,G,7.69,6308.0
77.1971,F,8.23,6032.0
77.1971,F,8.23,6032.0
71.3499,K,6.90498,5025.0
75.8643,G,8.15,6179.0
73.2801,G,7.89,5856.0
20.2727,K,7.08308,5352.05
