sy_vmag,glon,glat,st_spectype,sy_dist
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,,181.69
14.611,321.8192,43.14733,,418.395
14.611,321.8192,43.14733,,418.395
14.611,321.8192,43.14733,,418.395
14.611,321.8192,43.14733,,418.395
14.611,321.8192,43.14733,,418.395
14.611,321.8192,43.14733,,418.395
13.441,316.58254,47.50561,,611.804
13.441,316.58254,47.50561,,611.804
13.672,317.34866,49.05579,,283.29
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
12.488,322.41694,50.09504,,320.07
13.976,330.23401,49.04154,,561.929
13.976,330.23401,49.04154,,561.929
13.976,330.23401,49.04154,,561.929
14.81,322.27085,53.83847,,336.25
14.81,322.27085,53.83847,K3,336.25
14.81,322.27085,53.83847,,336.25
14.81,322.27085,53.83847,K3,336.25
13.991,129.88845,-56.07199,,624.512
14.21,123.91754,-54.87207,,496.289
14.21,123.91754,-54.87207,,496.289
14.21,123.91754,-54.87207,,496.289
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,G5,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,G5 V,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,G5,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,,244.59
12.101,123.28442,-52.07644,G5 V,244.59
16.77,296.84098,57.47166,,150.124
16.77,296.84098,57.47166,,150.124
10.23,289.77763,60.81426,,121.971
10.23,289.77763,60.81426,,121.971
10.23,289.77763,60.81426,,121.971
11.237,186.97531,-12.64088,F5 V,372.632
11.237,186.97531,-12.64088,F5 V,372.632
11.237,186.97531,-12.64088,,372.632
12.353,232.28858,55.10278,,551.886
11.429,345.11043,34.30816,G8 IV/V,321.296
11.429,345.11043,34.30816,G8 IV/V,321.296
11.429,345.11043,34.30816,G8 IV/V,321.296
,172.11406,-16.9613,M7.25,
,172.11406,-16.9613,,
11.672,165.11109,50.75922,,21.7912
13.078,106.14833,10.16235,M4.0 V,16.009
13.078,106.14833,10.16235,M4.0 V,16.009
13.821,206.06509,37.03563,,27.9276
13.821,206.06509,37.03563,,27.9276
13.821,206.06509,37.03563,M2.5 V,27.9276
13.821,206.06509,37.03563,M2.5 V,27.9276
,92.44529,-67.73033,M5.5 V,4.84867
,92.44529,-67.73033,M5.5 V,4.84867
12.7,251.87109,-52.90138,M5.5 V,3.67278
12.7,251.87109,-52.90138,M5.5 V,3.67278
12.7,251.87109,-52.90138,M5.5 V,3.67278
13.68,277.25461,7.75911,,12.613
13.68,277.25461,7.75911,M4.5 V,12.613
13.68,277.25461,7.75911,,12.613
13.68,277.25461,7.75911,M4.5 V,12.613
13.68,277.25461,7.75911,,12.613
13.68,277.25461,7.75911,,12.613
13.68,277.25461,7.75911,,12.613
13.68,277.25461,7.75911,,12.613
11.939,160.61794,68.91636,,11.0143
11.939,160.61794,68.91636,,11.0143
11.939,160.61794,68.91636,,11.0143
11.939,160.61794,68.91636,,11.0143
11.939,160.61794,68.91636,,11.0143
13.76,147.86957,65.72032,M 4.5V,8.03625
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,M4 V,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
,,,,
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
15.1,26.16217,23.60704,,14.6427
12.68,341.21724,-35.49343,M3,20.373
12.68,341.21724,-35.49343,,20.373
12.68,341.21724,-35.49343,M3,20.373
12.68,341.21724,-35.49343,M3,20.373
12.68,341.21724,-35.49343,,20.373
12.68,341.21724,-35.49343,M3,20.373
14.01,39.07968,-52.51355,M4.5 V,10.2525
8.08,279.23027,-45.82079,,16.32
8.08,279.23027,-45.82079,,16.32
8.08,279.23027,-45.82079,K4.5,16.32
8.09,116.69017,-18.44687,M1,3.56228
8.09,116.69017,-18.44687,M2 V,3.56228
8.09,116.69017,-18.44687,,3.56228
8.09,116.69017,-18.44687,M1,3.56228
9.7,215.8726,-45.26015,M0 V,25.8557
11.79,262.77663,-45.32001,,15.1285
11.79,262.77663,-45.32001,,15.1285
11.79,262.77663,-45.32001,,15.1285
11.963,192.2274,-22.86269,M3.5 V,12.356
11.963,192.2274,-22.86269,,12.356
11.963,192.2274,-22.86269,M2 V,12.356
10.914,216.96953,-33.72746,,11.9407
10.914,216.96953,-33.72746,M2 V,11.9407
10.914,216.96953,-33.72746,M2 V,11.9407
10.914,216.96953,-33.72746,,11.9407
6.20902,191.80875,-49.20245,,37.0788
6.20902,191.80875,-49.20245,,37.0788
10.37,237.4367,-6.85292,,28.4434
8.15,228.61506,-18.44091,,5.75624
8.15,228.61506,-18.44091,,5.75624
8.15,228.61506,-18.44091,M1/M2 V,5.75624
8.15,228.61506,-18.44091,,5.75624
8.15,228.61506,-18.44091,,5.75624
11.62,267.83346,-25.12418,,15.2142
11.62,267.83346,-25.12418,M2.5 V,15.2142
9.89,182.93672,15.13189,M3.0 V,5.58057
11.45,309.84569,-72.72011,M0.5 V,23.6062
9.84,212.34455,10.37353,M3.5,5.921535
9.84,212.34455,10.37353,M3.5,5.921535
